order_id,user_id,product_id,product_name,category,brand,price,quantity,order_date,order_status
132,1456,122,Badminton Racket,Sports & Fitness,Yonex,6852.69,2,2026-02-12,Delivered
133,1893,125,Football,Sports & Fitness,Cosco,468.23,2,2025-08-27,Delivered
134,1756,34,Denim Jeans,Fashion,H&M,2370.89,1,2026-01-26,Delivered
135,643,106,Trimmer,Beauty & Personal Care,Mamaearth,1337.96,1,2025-04-25,Returned
136,1398,15,Laptop,Electronics,boAt,66900.0,1,2025-09-01,Cancelled
137,17,75,Fiction Novel,Books,Bloomsbury,437.24,1,2026-01-27,Returned
138,457,24,Neckband Earphones,Electronics,Realme,31924.27,1,2026-05-23,Delivered
139,1676,22,Neckband Earphones,Electronics,Samsung,16879.38,1,2025-07-05,Shipped
140,813,52,Non-Stick Pan Set,Home & Kitchen,Bajaj,5368.39,1,2026-01-18,Delivered
141,1238,122,Badminton Racket,Sports & Fitness,Yonex,976.42,1,2025-07-21,Delivered
142,1943,55,Air Fryer,Home & Kitchen,Bajaj,4331.38,1,2025-07-09,Delivered
143,779,93,Face Wash,Beauty & Personal Care,Dove,2004.46,4,2024-11-17,Delivered
144,434,109,Perfume,Beauty & Personal Care,The Man Company,783.14,1,2026-03-15,Delivered
145,142,77,Self-Help Book,Books,Scholastic,885.4,1,2025-02-14,Delivered
146,439,67,Wall Clock,Home & Kitchen,Cello,2596.0,1,2025-11-20,Returned
147,878,77,Self-Help Book,Books,Scholastic,247.08,1,2026-03-01,Delivered
148,974,42,Casual Sneakers,Fashion,Biba,4837.27,1,2025-08-25,Shipped
149,1169,3,Smartphone,Electronics,boAt,50832.03,3,2025-05-08,Delivered
150,1481,38,Formal Shirt,Fashion,Levis,1820.54,4,2025-11-19,Shipped
151,1522,82,Children's Story Book,Books,Rupa Publications,111.77,3,2026-06-13,Shipped
152,1023,30,Women's Kurta,Fashion,Biba,4021.48,1,2026-03-13,Delivered
153,1480,33,Running Shoes,Fashion,Roadster,3280.18,1,2024-02-05,Delivered
154,75,108,Trimmer,Beauty & Personal Care,Lakme,1785.65,2,2025-08-21,Delivered
155,443,49,Mixer Grinder,Home & Kitchen,Havells,12638.74,1,2025-04-04,Delivered
156,1667,79,Competitive Exam Guide,Books,Scholastic,550.88,2,2025-08-25,Delivered
157,1329,106,Trimmer,Beauty & Personal Care,Mamaearth,1113.41,1,2026-08-03,Delivered
158,1072,86,Biography,Books,HarperCollins,201.04,1,2026-06-09,Delivered
159,363,42,Casual Sneakers,Fashion,Biba,2849.99,1,2025-09-06,Cancelled
160,1411,73,Fiction Novel,Books,Scholastic,730.88,3,2025-11-27,Returned
161,204,27,Men's T-Shirt,Fashion,Puma,720.3,1,2026-07-19,Shipped
162,213,26,Men's T-Shirt,Fashion,Nike,3276.57,1,2026-08-17,Cancelled
163,1368,55,Air Fryer,Home & Kitchen,Bajaj,3090.71,1,2025-11-20,Delivered
164,401,32,Running Shoes,Fashion,H&M,1946.88,2,2026-03-09,Delivered
165,1860,102,Body Lotion,Beauty & Personal Care,Mamaearth,166.87,1,2026-02-17,Delivered
166,581,68,Wall Clock,Home & Kitchen,Havells,4168.31,3,2025-09-27,Returned
167,1379,107,Trimmer,Beauty & Personal Care,Plum,225.79,1,2025-07-29,Cancelled
168,1722,82,Children's Story Book,Books,Rupa Publications,400.58,3,2026-02-15,Pending
169,496,50,Mixer Grinder,Home & Kitchen,Pigeon,8106.42,1,2026-06-04,Delivered
170,1909,33,Running Shoes,Fashion,Roadster,4714.14,1,2025-09-23,Delivered
171,826,41,Casual Sneakers,Fashion,Allen Solly,2354.79,1,2026-04-07,Cancelled
172,1033,101,Body Lotion,Beauty & Personal Care,Lakme,2130.12,1,2024-07-29,Delivered
173,1133,53,Non-Stick Pan Set,Home & Kitchen,Pigeon,1437.99,1,2025-05-07,Delivered
174,1578,8,Smartwatch,Electronics,OnePlus,55933.49,1,2025-10-03,Pending
175,1172,34,Denim Jeans,Fashion,H&M,4921.05,1,2025-05-02,Delivered
176,383,57,Air Fryer,Home & Kitchen,Pigeon,4034.76,1,2024-12-23,Delivered
177,1598,97,Hair Serum,Beauty & Personal Care,Lakme,1959.42,1,2026-02-09,Delivered
178,1915,27,Men's T-Shirt,Fashion,Puma,820.38,3,2026-05-25,Delivered
179,291,47,Sunglasses,Fashion,Biba,735.05,1,2025-02-04,Delivered
180,1717,26,Men's T-Shirt,Fashion,Nike,2606.87,1,2024-11-19,Delivered
181,1965,108,Trimmer,Beauty & Personal Care,Lakme,1030.85,1,2026-03-07,Returned
182,1656,3,Smartphone,Electronics,boAt,81403.52,1,2025-11-27,Delivered
183,1751,89,Business Book,Books,Bloomsbury,534.52,1,2025-07-21,Delivered
184,325,66,Induction Cooktop,Home & Kitchen,Cello,12062.94,1,2025-08-15,Delivered
185,48,40,Casual Sneakers,Fashion,Levis,1315.64,1,2025-08-13,Returned
186,61,22,Neckband Earphones,Electronics,Samsung,65713.76,3,2026-05-10,Delivered
187,987,24,Neckband Earphones,Electronics,Realme,31889.96,1,2024-11-10,Delivered
188,1527,112,Yoga Mat,Sports & Fitness,Nivia,3685.06,1,2026-02-10,Delivered
189,355,72,Bedsheet Set,Home & Kitchen,Prestige,12512.86,1,2025-12-15,Cancelled
190,1204,53,Non-Stick Pan Set,Home & Kitchen,Pigeon,12409.47,1,2025-03-03,Returned
191,868,70,Bedsheet Set,Home & Kitchen,Bajaj,10651.63,1,2025-10-05,Delivered
192,880,91,Face Wash,Beauty & Personal Care,The Man Company,1027.81,1,2024-11-10,Delivered
193,343,65,Induction Cooktop,Home & Kitchen,Prestige,7731.58,1,2026-03-28,Cancelled
194,1322,91,Face Wash,Beauty & Personal Care,The Man Company,1085.02,1,2026-05-14,Cancelled
195,880,92,Face Wash,Beauty & Personal Care,Plum,725.5,1,2026-01-31,Delivered
196,298,32,Running Shoes,Fashion,H&M,344.28,1,2026-01-25,Delivered
197,438,83,Children's Story Book,Books,Penguin,907.87,1,2025-07-06,Delivered
198,1233,27,Men's T-Shirt,Fashion,Puma,2935.51,2,2026-02-03,Shipped
199,1654,20,Bluetooth Speaker,Electronics,Xiaomi,51995.2,1,2026-03-11,Delivered
200,892,51,Mixer Grinder,Home & Kitchen,Philips,2762.32,2,2025-05-21,Delivered
201,563,32,Running Shoes,Fashion,H&M,2427.09,1,2025-06-02,Delivered
202,485,73,Fiction Novel,Books,Scholastic,115.05,2,2025-09-22,Delivered
203,10,73,Fiction Novel,Books,Scholastic,216.95,4,2026-04-12,Delivered
204,1093,11,LED TV 43-inch,Electronics,boAt,30894.18,1,2026-04-17,Delivered
205,1700,78,Self-Help Book,Books,HarperCollins,346.21,2,2026-02-07,Delivered
206,1140,127,Resistance Band Set,Sports & Fitness,Nivia,4362.78,1,2026-01-22,Delivered
207,931,32,Running Shoes,Fashion,H&M,4261.46,3,2026-05-13,Delivered
208,459,3,Smartphone,Electronics,boAt,13174.11,4,2024-03-24,Returned
209,1484,23,Neckband Earphones,Electronics,JBL,17850.44,3,2026-04-03,Delivered
210,1850,2,Smartphone,Electronics,Apple,84121.64,2,2025-08-26,Delivered
211,1608,13,Laptop,Electronics,Sony,85284.32,1,2024-03-13,Delivered
212,1255,70,Bedsheet Set,Home & Kitchen,Bajaj,9156.98,3,2026-03-11,Delivered
213,246,38,Formal Shirt,Fashion,Levis,3838.26,3,2024-08-10,Shipped
214,847,32,Running Shoes,Fashion,H&M,2751.29,1,2025-10-31,Delivered
215,1004,83,Children's Story Book,Books,Penguin,794.38,1,2026-06-12,Delivered
216,1570,91,Face Wash,Beauty & Personal Care,The Man Company,1461.51,2,2025-07-31,Delivered
217,1506,20,Bluetooth Speaker,Electronics,Xiaomi,7501.88,1,2026-03-08,Delivered
218,1374,99,Hair Serum,Beauty & Personal Care,Plum,590.61,1,2024-11-28,Delivered
219,1210,81,Competitive Exam Guide,Books,Penguin,783.44,1,2026-01-14,Delivered
220,316,28,Women's Kurta,Fashion,Levis,4595.39,1,2026-03-04,Delivered
221,1997,52,Non-Stick Pan Set,Home & Kitchen,Bajaj,10194.27,1,2026-01-08,Delivered
222,337,27,Men's T-Shirt,Fashion,Puma,991.26,2,2026-07-09,Delivered
223,493,48,Sunglasses,Fashion,Puma,1552.76,1,2025-07-02,Delivered
224,721,22,Neckband Earphones,Electronics,Samsung,32413.87,1,2025-01-18,Delivered
225,883,14,Laptop,Electronics,Xiaomi,40166.58,1,2025-08-06,Delivered
226,784,109,Perfume,Beauty & Personal Care,The Man Company,604.74,1,2025-12-28,Delivered
227,566,127,Resistance Band Set,Sports & Fitness,Nivia,3725.61,1,2025-08-21,Delivered
228,510,57,Air Fryer,Home & Kitchen,Pigeon,1717.65,3,2026-05-23,Delivered
229,489,71,Bedsheet Set,Home & Kitchen,Pigeon,3136.43,1,2025-02-11,Delivered
230,803,57,Air Fryer,Home & Kitchen,Pigeon,9606.54,2,2025-05-11,Delivered
231,422,53,Non-Stick Pan Set,Home & Kitchen,Pigeon,4681.32,1,2024-10-07,Delivered
232,1503,129,Resistance Band Set,Sports & Fitness,Yonex,6371.92,1,2026-06-14,Delivered
233,1747,62,Water Bottle Set,Home & Kitchen,Pigeon,2419.47,1,2026-04-09,Delivered
234,681,37,Formal Shirt,Fashion,Van Heusen,4821.54,1,2026-04-04,Delivered
235,43,20,Bluetooth Speaker,Electronics,Xiaomi,16027.68,2,2026-04-23,Delivered
236,722,1,Smartphone,Electronics,Xiaomi,44356.01,1,2026-06-03,Delivered
237,1678,75,Fiction Novel,Books,Bloomsbury,850.82,1,2023-12-28,Delivered
238,301,26,Men's T-Shirt,Fashion,Nike,1730.63,2,2026-01-22,Delivered
239,1505,66,Induction Cooktop,Home & Kitchen,Cello,8707.46,1,2025-06-02,Delivered
240,1696,86,Biography,Books,HarperCollins,901.24,2,2026-05-26,Returned
241,1848,29,Women's Kurta,Fashion,Allen Solly,1567.71,1,2026-04-02,Delivered
242,303,57,Air Fryer,Home & Kitchen,Pigeon,8655.93,1,2026-06-15,Delivered
243,501,111,Perfume,Beauty & Personal Care,Plum,993.64,2,2025-09-22,Delivered
244,1956,28,Women's Kurta,Fashion,Levis,4836.63,2,2025-04-29,Delivered
245,1842,45,Handbag,Fashion,Allen Solly,1545.95,1,2026-04-13,Returned
246,801,71,Bedsheet Set,Home & Kitchen,Pigeon,4192.87,1,2025-09-30,Delivered
247,704,32,Running Shoes,Fashion,H&M,2336.26,1,2026-02-24,Shipped
248,1623,29,Women's Kurta,Fashion,Allen Solly,4855.51,1,2025-04-03,Delivered
249,956,75,Fiction Novel,Books,Bloomsbury,660.42,1,2025-11-27,Delivered
250,591,4,Bluetooth Earbuds,Electronics,Xiaomi,41283.15,1,2025-10-29,Cancelled
251,253,2,Smartphone,Electronics,Apple,39183.8,1,2025-06-24,Delivered
252,515,73,Fiction Novel,Books,Scholastic,805.74,1,2024-08-25,Shipped
253,1149,70,Bedsheet Set,Home & Kitchen,Bajaj,2067.71,2,2024-12-09,Delivered
254,1881,9,Smartwatch,Electronics,boAt,43006.46,1,2025-11-05,Cancelled
255,1305,103,Lipstick,Beauty & Personal Care,The Man Company,2421.23,1,2025-05-05,Delivered
256,619,45,Handbag,Fashion,Allen Solly,2949.37,1,2025-10-05,Delivered
257,1185,52,Non-Stick Pan Set,Home & Kitchen,Bajaj,3436.76,1,2024-08-27,Delivered
258,625,119,Dumbbell Set 10kg,Sports & Fitness,Adidas,3910.65,1,2025-10-27,Returned
259,895,114,Yoga Mat,Sports & Fitness,Adidas,4919.11,1,2024-06-25,Delivered
260,733,120,Dumbbell Set 10kg,Sports & Fitness,Yonex,3058.44,1,2025-11-19,Delivered
261,1145,108,Trimmer,Beauty & Personal Care,Lakme,356.81,1,2025-01-09,Returned
262,1612,96,Sunscreen SPF50,Beauty & Personal Care,Plum,448.1,1,2024-12-26,Delivered
263,601,101,Body Lotion,Beauty & Personal Care,Lakme,444.95,1,2026-02-28,Delivered
264,1563,118,Dumbbell Set 10kg,Sports & Fitness,Decathlon,5905.55,1,2026-03-19,Delivered
265,1331,25,Men's T-Shirt,Fashion,Allen Solly,4162.12,1,2024-11-18,Delivered
266,1771,14,Laptop,Electronics,Xiaomi,63379.28,1,2024-08-20,Delivered
267,1981,58,Table Lamp,Home & Kitchen,Prestige,11660.92,1,2025-07-28,Delivered
268,1287,2,Smartphone,Electronics,Apple,72660.02,1,2025-03-02,Delivered
269,138,31,Running Shoes,Fashion,Biba,2742.17,1,2023-12-22,Delivered
270,51,114,Yoga Mat,Sports & Fitness,Adidas,2855.85,3,2026-02-24,Delivered
271,991,61,Water Bottle Set,Home & Kitchen,Philips,10980.94,1,2026-06-22,Cancelled
272,1396,32,Running Shoes,Fashion,H&M,2331.06,1,2025-06-16,Delivered
273,1677,44,Handbag,Fashion,Van Heusen,2703.12,1,2026-05-25,Delivered
274,984,26,Men's T-Shirt,Fashion,Nike,4806.73,1,2026-02-23,Delivered
275,802,28,Women's Kurta,Fashion,Levis,2479.63,2,2025-10-15,Delivered
276,581,100,Body Lotion,Beauty & Personal Care,The Man Company,174.9,1,2025-09-24,Delivered
277,1830,114,Yoga Mat,Sports & Fitness,Adidas,488.9,3,2025-11-13,Shipped
278,959,118,Dumbbell Set 10kg,Sports & Fitness,Decathlon,2081.95,4,2026-03-24,Delivered
279,1753,54,Non-Stick Pan Set,Home & Kitchen,Philips,4696.63,2,2026-03-11,Delivered
280,129,39,Formal Shirt,Fashion,Allen Solly,1952.77,2,2024-10-12,Delivered
281,1465,36,Denim Jeans,Fashion,Puma,1607.2,2,2026-03-10,Delivered
282,807,124,Football,Sports & Fitness,Nivia,2759.35,1,2024-09-18,Delivered
283,1180,67,Wall Clock,Home & Kitchen,Cello,1899.13,1,2025-12-14,Shipped
284,713,104,Lipstick,Beauty & Personal Care,Dove,307.79,1,2025-09-27,Delivered
285,475,128,Resistance Band Set,Sports & Fitness,Decathlon,6551.79,1,2025-04-02,Delivered
286,1581,61,Water Bottle Set,Home & Kitchen,Philips,1593.26,3,2026-02-10,Delivered
287,787,108,Trimmer,Beauty & Personal Care,Lakme,2316.58,1,2026-01-11,Delivered
288,77,19,Bluetooth Speaker,Electronics,boAt,40183.34,1,2026-03-03,Delivered
289,61,28,Women's Kurta,Fashion,Levis,3583.01,1,2026-05-13,Pending
290,1176,51,Mixer Grinder,Home & Kitchen,Philips,3468.31,1,2025-09-08,Delivered
291,413,112,Yoga Mat,Sports & Fitness,Nivia,5733.1,2,2026-01-03,Delivered
292,1193,25,Men's T-Shirt,Fashion,Allen Solly,1255.64,2,2024-07-23,Returned
293,737,19,Bluetooth Speaker,Electronics,boAt,31190.45,1,2026-01-22,Shipped
294,1492,128,Resistance Band Set,Sports & Fitness,Decathlon,1491.93,1,2025-11-03,Cancelled
295,1026,36,Denim Jeans,Fashion,Puma,4066.5,1,2025-04-07,Delivered
296,1790,33,Running Shoes,Fashion,Roadster,3976.22,1,2024-09-03,Delivered
297,473,85,Biography,Books,Scholastic,119.29,2,2025-09-18,Delivered
298,1697,92,Face Wash,Beauty & Personal Care,Plum,308.69,2,2026-04-14,Shipped
299,154,62,Water Bottle Set,Home & Kitchen,Pigeon,11127.24,3,2025-08-24,Delivered
300,818,29,Women's Kurta,Fashion,Allen Solly,3038.03,3,2025-10-19,Pending
301,1338,87,Biography,Books,Bloomsbury,478.27,1,2024-02-07,Returned
302,122,85,Biography,Books,Scholastic,930.76,1,2024-08-28,Returned
303,483,10,LED TV 43-inch,Electronics,Apple,31648.43,1,2025-07-26,Delivered
304,1515,21,Bluetooth Speaker,Electronics,Apple,79965.66,1,2025-10-15,Delivered
305,1482,128,Resistance Band Set,Sports & Fitness,Decathlon,3650.71,1,2025-08-06,Delivered
306,622,59,Table Lamp,Home & Kitchen,Havells,522.4,1,2026-01-26,Delivered
307,1662,98,Hair Serum,Beauty & Personal Care,Mamaearth,1751.56,2,2026-03-27,Delivered
