review_id,order_id,user_id,product_id,rating,review_text,review_date
29,54,28,34,4,"Decent product for the price, would recommend with minor caution.",2025-12-15
30,56,179,34,4,"Decent product for the price, would recommend with minor caution.",2026-04-12
31,57,1984,49,2,"Not worth the price, expected better quality.",2026-04-20
32,58,1929,88,5,Best in this price range. Will buy again from this brand.,2025-09-11
33,59,1093,12,4,"Works well, matches the description. Happy with it.",2026-01-04
34,64,1783,43,4,"Nice quality, delivery was a bit delayed but product is good.",2025-09-18
35,65,800,70,5,Best in this price range. Will buy again from this brand.,2025-05-25
36,66,1213,117,4,"Decent product for the price, would recommend with minor caution.",2025-12-14
37,67,1746,69,5,Superb quality and fast delivery. Highly recommend to everyone.,2024-12-14
38,68,488,38,5,"Excellent product, exactly as described. Very happy with the purchase.",2025-02-28
39,74,528,53,3,"Quality is average, packaging could have been better.",2026-04-06
40,75,1192,102,4,"Nice quality, delivery was a bit delayed but product is good.",2025-11-12
41,79,294,117,3,Product is fine but delivery took longer than expected.,2026-04-12
42,80,1079,4,3,Product is fine but delivery took longer than expected.,2024-09-04
43,81,1693,12,3,"Quality is average, packaging could have been better.",2024-06-04
44,83,1111,87,5,"Excellent product, exactly as described. Very happy with the purchase.",2026-01-16
45,86,211,27,5,"Excellent product, exactly as described. Very happy with the purchase.",2025-09-11
46,87,1869,59,3,"It's okay, nothing special but does the job.",2024-12-19
47,88,463,99,1,"Worst experience, will not order this brand again.",2026-05-04
48,89,1008,58,5,Amazing value for money. Packaging was also very good.,2026-03-18
49,92,308,78,2,"Not worth the price, expected better quality.",2026-04-14
50,93,556,95,5,Superb quality and fast delivery. Highly recommend to everyone.,2026-04-28
51,96,1489,24,5,Best in this price range. Will buy again from this brand.,2025-02-22
52,99,1009,59,5,Superb quality and fast delivery. Highly recommend to everyone.,2025-09-02
53,100,1184,57,5,Superb quality and fast delivery. Highly recommend to everyone.,2026-02-02
54,102,716,36,1,"Received a damaged item, requesting refund immediately.",2026-08-17
55,103,1991,108,5,Amazing value for money. Packaging was also very good.,2026-05-17
56,105,762,19,5,"Excellent product, exactly as described. Very happy with the purchase.",2024-05-03
57,107,853,47,5,"Excellent product, exactly as described. Very happy with the purchase.",2024-09-28
58,108,1944,106,3,"It's okay, nothing special but does the job.",2025-03-10
59,111,931,67,4,"Decent product for the price, would recommend with minor caution.",2026-06-10
60,114,1146,20,4,"Decent product for the price, would recommend with minor caution.",2025-10-19
61,115,1315,98,4,"Good product overall, minor issues but satisfied with the purchase.",2025-06-10
62,117,58,28,5,"Excellent product, exactly as described. Very happy with the purchase.",2025-08-04
63,118,634,9,5,"Excellent product, exactly as described. Very happy with the purchase.",2026-07-16
64,121,801,34,5,Superb quality and fast delivery. Highly recommend to everyone.,2026-01-04
65,123,783,10,5,Best in this price range. Will buy again from this brand.,2025-11-12
66,126,1906,115,4,"Nice quality, delivery was a bit delayed but product is good.",2026-01-25
67,127,1753,11,4,"Decent product for the price, would recommend with minor caution.",2026-05-29
68,130,1634,23,5,Amazing value for money. Packaging was also very good.,2026-02-15
69,131,606,72,3,"Quality is average, packaging could have been better.",2024-10-08
70,132,1456,122,4,"Good product overall, minor issues but satisfied with the purchase.",2026-03-04
71,135,643,106,1,"Received a damaged item, requesting refund immediately.",2025-05-16
72,137,17,75,2,"Product had minor defects, considering a return.",2026-02-07
73,138,457,24,3,"It's okay, nothing special but does the job.",2026-06-12
74,140,813,52,5,Amazing value for money. Packaging was also very good.,2026-01-28
75,141,1238,122,3,Product is fine but delivery took longer than expected.,2025-08-02
76,143,779,93,2,"Product had minor defects, considering a return.",2024-12-01
77,144,434,109,5,Amazing value for money. Packaging was also very good.,2026-03-23
78,145,142,77,5,Amazing value for money. Packaging was also very good.,2025-03-02
79,146,439,67,2,"Not worth the price, expected better quality.",2025-12-09
80,147,878,77,5,Superb quality and fast delivery. Highly recommend to everyone.,2026-03-16
81,149,1169,3,4,"Good product overall, minor issues but satisfied with the purchase.",2025-05-28
82,154,75,108,5,Superb quality and fast delivery. Highly recommend to everyone.,2025-09-07
83,157,1329,106,5,Amazing value for money. Packaging was also very good.,2026-08-13
84,164,401,32,3,"Quality is average, packaging could have been better.",2026-03-16
85,165,1860,102,4,"Decent product for the price, would recommend with minor caution.",2026-02-21
86,166,581,68,2,"Product had minor defects, considering a return.",2025-10-18
87,169,496,50,2,"Product had minor defects, considering a return.",2026-06-20
88,170,1909,33,5,"Excellent product, exactly as described. Very happy with the purchase.",2025-10-04
89,172,1033,101,3,"Quality is average, packaging could have been better.",2024-08-22
90,173,1133,53,3,Product is fine but delivery took longer than expected.,2025-05-18
91,175,1172,34,3,"Average product, expected a bit more for this price.",2025-05-24
92,179,291,47,5,"Excellent product, exactly as described. Very happy with the purchase.",2025-02-16
93,180,1717,26,3,"It's okay, nothing special but does the job.",2024-11-24
94,181,1965,108,2,"Not satisfied, quality is below expectations.",2026-03-19
95,182,1656,3,3,Product is fine but delivery took longer than expected.,2025-12-12
96,183,1751,89,3,"It's okay, nothing special but does the job.",2025-08-07
97,184,325,66,3,"It's okay, nothing special but does the job.",2025-09-05
98,185,48,40,2,"Not worth the price, expected better quality.",2025-08-30
99,186,61,22,3,Product is fine but delivery took longer than expected.,2026-05-19
100,188,1527,112,5,Superb quality and fast delivery. Highly recommend to everyone.,2026-02-25
101,190,1204,53,1,"Received a damaged item, requesting refund immediately.",2025-03-13
102,192,880,91,2,"Not satisfied, quality is below expectations.",2024-11-30
103,195,880,92,4,"Works well, matches the description. Happy with it.",2026-02-15
104,197,438,83,5,Amazing value for money. Packaging was also very good.,2025-07-13
105,199,1654,20,5,"Excellent product, exactly as described. Very happy with the purchase.",2026-03-29
106,200,892,51,4,"Decent product for the price, would recommend with minor caution.",2025-06-09
107,201,563,32,1,"Worst experience, will not order this brand again.",2025-06-08
108,205,1700,78,2,"Not worth the price, expected better quality.",2026-02-14
109,206,1140,127,5,Best in this price range. Will buy again from this brand.,2026-02-07
110,207,931,32,4,"Works well, matches the description. Happy with it.",2026-05-28
111,209,1484,23,5,Superb quality and fast delivery. Highly recommend to everyone.,2026-04-17
112,210,1850,2,2,"Not satisfied, quality is below expectations.",2025-09-10
113,211,1608,13,4,"Good product overall, minor issues but satisfied with the purchase.",2024-03-30
114,212,1255,70,5,Amazing value for money. Packaging was also very good.,2026-03-29
115,214,847,32,3,"It's okay, nothing special but does the job.",2025-11-11
116,215,1004,83,2,"Not worth the price, expected better quality.",2026-06-29
117,216,1570,91,5,Best in this price range. Will buy again from this brand.,2025-08-20
118,217,1506,20,1,"Received a damaged item, requesting refund immediately.",2026-03-22
119,220,316,28,5,Best in this price range. Will buy again from this brand.,2026-03-18
120,221,1997,52,5,Superb quality and fast delivery. Highly recommend to everyone.,2026-01-20
121,222,337,27,5,"Excellent product, exactly as described. Very happy with the purchase.",2026-07-25
122,223,493,48,4,"Decent product for the price, would recommend with minor caution.",2025-07-20
123,224,721,22,5,Best in this price range. Will buy again from this brand.,2025-02-05
124,225,883,14,5,Superb quality and fast delivery. Highly recommend to everyone.,2025-08-21
125,226,784,109,4,"Nice quality, delivery was a bit delayed but product is good.",2026-01-05
126,228,510,57,2,"Not satisfied, quality is below expectations.",2026-06-05
127,229,489,71,2,Delivery was late and product quality is average at best.,2025-02-21
128,230,803,57,3,"Average product, expected a bit more for this price.",2025-05-25
129,231,422,53,1,"Worst experience, will not order this brand again.",2024-10-17
130,233,1747,62,2,Delivery was late and product quality is average at best.,2026-04-16
131,234,681,37,3,"Quality is average, packaging could have been better.",2026-04-22
132,235,43,20,1,"Worst experience, will not order this brand again.",2026-05-09
133,236,722,1,5,Best in this price range. Will buy again from this brand.,2026-06-25
134,237,1678,75,2,"Not worth the price, expected better quality.",2024-01-03
135,238,301,26,1,"Very disappointed, product stopped working within days.",2026-02-06
136,240,1696,86,1,"Received a damaged item, requesting refund immediately.",2026-06-08
137,241,1848,29,5,Amazing value for money. Packaging was also very good.,2026-04-20
138,242,303,57,4,"Good product overall, minor issues but satisfied with the purchase.",2026-06-28
139,243,501,111,5,Superb quality and fast delivery. Highly recommend to everyone.,2025-10-06
140,244,1956,28,5,Amazing value for money. Packaging was also very good.,2025-05-05
141,245,1842,45,2,"Not worth the price, expected better quality.",2026-04-30
142,246,801,71,5,Amazing value for money. Packaging was also very good.,2025-10-18
143,251,253,2,4,"Good product overall, minor issues but satisfied with the purchase.",2025-07-07
144,253,1149,70,4,"Decent product for the price, would recommend with minor caution.",2024-12-18
145,256,619,45,5,Superb quality and fast delivery. Highly recommend to everyone.,2025-10-20
146,263,601,101,5,Amazing value for money. Packaging was also very good.,2026-03-14
147,264,1563,118,4,"Good product overall, minor issues but satisfied with the purchase.",2026-04-06
148,265,1331,25,2,"Not satisfied, quality is below expectations.",2024-12-08
149,266,1771,14,2,"Not worth the price, expected better quality.",2024-08-27
150,267,1981,58,3,"Average product, expected a bit more for this price.",2025-08-08
151,269,138,31,3,"Average product, expected a bit more for this price.",2024-01-04
152,270,51,114,3,"Quality is average, packaging could have been better.",2026-03-17
153,276,581,100,4,"Works well, matches the description. Happy with it.",2025-10-05
154,278,959,118,5,Amazing value for money. Packaging was also very good.,2026-04-02
155,279,1753,54,5,"Excellent product, exactly as described. Very happy with the purchase.",2026-03-20
156,280,129,39,4,"Nice quality, delivery was a bit delayed but product is good.",2024-10-29
157,281,1465,36,1,"Received a damaged item, requesting refund immediately.",2026-03-27
158,282,807,124,3,"It's okay, nothing special but does the job.",2024-10-08
159,285,475,128,2,Delivery was late and product quality is average at best.,2025-04-07
160,286,1581,61,3,"Quality is average, packaging could have been better.",2026-02-27
161,287,787,108,5,Best in this price range. Will buy again from this brand.,2026-01-31
162,288,77,19,3,"It's okay, nothing special but does the job.",2026-03-17
163,290,1176,51,5,Amazing value for money. Packaging was also very good.,2025-09-22
164,297,473,85,3,"Average product, expected a bit more for this price.",2025-09-25
165,299,154,62,3,"It's okay, nothing special but does the job.",2025-09-08
166,301,1338,87,1,"Poor quality, does not match the images shown online.",2024-02-20
167,302,122,85,1,"Worst experience, will not order this brand again.",2024-09-18
168,303,483,10,3,"Average product, expected a bit more for this price.",2025-08-06
169,304,1515,21,3,"Average product, expected a bit more for this price.",2025-10-31
170,306,622,59,5,Best in this price range. Will buy again from this brand.,2026-02-07
171,308,107,97,4,"Good product overall, minor issues but satisfied with the purchase.",2025-05-21
172,309,283,31,4,"Nice quality, delivery was a bit delayed but product is good.",2024-08-07
173,312,1665,33,4,"Decent product for the price, would recommend with minor caution.",2024-07-14
174,314,1345,65,4,"Nice quality, delivery was a bit delayed but product is good.",2024-06-07
175,315,1666,57,4,"Works well, matches the description. Happy with it.",2025-04-20
176,318,573,36,4,"Decent product for the price, would recommend with minor caution.",2024-06-01
177,320,1566,6,3,"It's okay, nothing special but does the job.",2025-08-16
178,322,39,114,4,"Good product overall, minor issues but satisfied with the purchase.",2026-08-17
179,325,1211,88,1,"Very disappointed, product stopped working within days.",2026-07-27
180,327,1910,119,4,"Nice quality, delivery was a bit delayed but product is good.",2026-08-14
181,329,32,71,5,Best in this price range. Will buy again from this brand.,2025-02-17
182,331,1660,4,5,Amazing value for money. Packaging was also very good.,2026-02-06
183,332,542,114,3,"Average product, expected a bit more for this price.",2026-03-21
184,333,1979,56,4,"Nice quality, delivery was a bit delayed but product is good.",2025-04-29
185,335,1612,127,4,"Decent product for the price, would recommend with minor caution.",2025-02-10
186,336,1266,60,5,"Excellent product, exactly as described. Very happy with the purchase.",2025-11-29
187,342,687,96,1,"Poor quality, does not match the images shown online.",2026-06-23
188,343,329,75,4,"Decent product for the price, would recommend with minor caution.",2025-05-14
189,344,1248,81,3,"Average product, expected a bit more for this price.",2024-12-05
190,345,1191,56,2,"Not satisfied, quality is below expectations.",2026-01-04
191,347,1158,108,1,"Worst experience, will not order this brand again.",2026-01-27
192,350,1420,105,3,Product is fine but delivery took longer than expected.,2025-09-04
193,352,1167,63,4,"Good product overall, minor issues but satisfied with the purchase.",2026-04-26
194,353,283,74,3,"Average product, expected a bit more for this price.",2025-10-28
195,355,1795,43,1,"Received a damaged item, requesting refund immediately.",2025-07-10
196,361,1552,35,5,Superb quality and fast delivery. Highly recommend to everyone.,2025-07-17
197,362,1680,22,5,Superb quality and fast delivery. Highly recommend to everyone.,2026-05-23
198,364,573,25,4,"Decent product for the price, would recommend with minor caution.",2026-05-19
199,367,644,43,3,Product is fine but delivery took longer than expected.,2025-01-25
200,369,1365,25,5,Superb quality and fast delivery. Highly recommend to everyone.,2025-02-10
201,370,57,50,3,"It's okay, nothing special but does the job.",2026-06-05
202,373,1771,72,4,"Good product overall, minor issues but satisfied with the purchase.",2024-09-16
203,377,1283,3,1,"Poor quality, does not match the images shown online.",2026-02-09
204,379,1018,51,3,Product is fine but delivery took longer than expected.,2025-02-12
205,383,1369,101,4,"Nice quality, delivery was a bit delayed but product is good.",2026-03-28
206,384,449,74,5,"Excellent product, exactly as described. Very happy with the purchase.",2026-06-02
207,385,871,119,3,"Average product, expected a bit more for this price.",2024-08-16
208,386,816,124,1,"Very disappointed, product stopped working within days.",2025-12-31
209,395,847,64,2,Delivery was late and product quality is average at best.,2025-05-07
210,396,1926,129,3,Product is fine but delivery took longer than expected.,2025-09-03
211,398,774,34,2,Delivery was late and product quality is average at best.,2025-11-26
212,399,157,107,1,"Poor quality, does not match the images shown online.",2024-09-27
213,400,1883,101,4,"Good product overall, minor issues but satisfied with the purchase.",2024-09-29
214,403,1149,73,4,"Works well, matches the description. Happy with it.",2025-02-11
215,405,927,7,3,"It's okay, nothing special but does the job.",2024-12-31
216,407,1149,126,3,"It's okay, nothing special but does the job.",2025-01-14
217,409,1517,39,5,"Excellent product, exactly as described. Very happy with the purchase.",2025-04-07
218,410,1785,54,3,"Quality is average, packaging could have been better.",2025-02-18
219,411,642,61,4,"Good product overall, minor issues but satisfied with the purchase.",2026-06-01
220,414,1782,10,1,"Very disappointed, product stopped working within days.",2026-06-24
221,415,1075,108,5,Superb quality and fast delivery. Highly recommend to everyone.,2025-08-02
222,417,1332,53,5,Superb quality and fast delivery. Highly recommend to everyone.,2026-01-18
223,418,1239,119,4,"Decent product for the price, would recommend with minor caution.",2025-01-22
224,419,1746,43,3,Product is fine but delivery took longer than expected.,2026-05-11
225,421,385,25,3,"It's okay, nothing special but does the job.",2024-11-17
226,422,960,18,3,"Quality is average, packaging could have been better.",2025-10-11
227,426,366,27,5,Amazing value for money. Packaging was also very good.,2025-01-27
228,427,785,71,4,"Nice quality, delivery was a bit delayed but product is good.",2026-03-04
229,428,1863,44,2,"Not satisfied, quality is below expectations.",2025-07-31
230,429,1904,38,5,Superb quality and fast delivery. Highly recommend to everyone.,2026-02-14
231,431,967,129,3,Product is fine but delivery took longer than expected.,2025-04-01
232,432,1585,122,3,Product is fine but delivery took longer than expected.,2025-05-28
233,435,1404,112,1,"Received a damaged item, requesting refund immediately.",2024-08-23
234,436,1752,89,3,Product is fine but delivery took longer than expected.,2025-07-24
235,438,402,50,1,"Received a damaged item, requesting refund immediately.",2025-06-26
236,439,756,129,4,"Good product overall, minor issues but satisfied with the purchase.",2026-04-28
237,440,564,102,2,"Not satisfied, quality is below expectations.",2025-11-11
238,448,1372,50,4,"Decent product for the price, would recommend with minor caution.",2024-05-06
239,449,172,71,5,Best in this price range. Will buy again from this brand.,2026-08-17
240,450,1302,1,4,"Decent product for the price, would recommend with minor caution.",2026-01-23
241,451,955,23,3,"It's okay, nothing special but does the job.",2025-10-04
242,453,347,56,2,"Not satisfied, quality is below expectations.",2026-02-13
243,455,777,46,3,"Quality is average, packaging could have been better.",2025-12-24
244,463,1155,9,4,"Works well, matches the description. Happy with it.",2025-05-20
245,464,1846,108,2,"Not worth the price, expected better quality.",2023-12-04
246,465,384,79,4,"Good product overall, minor issues but satisfied with the purchase.",2026-04-23
247,466,900,112,5,Best in this price range. Will buy again from this brand.,2026-04-22
248,472,2,52,1,"Very disappointed, product stopped working within days.",2025-11-27
249,473,484,112,2,"Not worth the price, expected better quality.",2026-03-22
250,474,1732,2,5,Amazing value for money. Packaging was also very good.,2026-02-04
251,477,819,73,3,"Quality is average, packaging could have been better.",2026-02-05
252,480,1686,102,2,"Not worth the price, expected better quality.",2024-04-12
253,483,1956,42,4,"Good product overall, minor issues but satisfied with the purchase.",2025-06-18
254,485,330,99,3,"Average product, expected a bit more for this price.",2025-03-23
255,487,1237,116,4,"Works well, matches the description. Happy with it.",2026-02-20
256,488,1729,29,4,"Nice quality, delivery was a bit delayed but product is good.",2026-03-17
257,490,1209,117,3,"Average product, expected a bit more for this price.",2025-07-02
258,492,692,7,5,Superb quality and fast delivery. Highly recommend to everyone.,2026-02-12
259,493,36,77,2,"Product had minor defects, considering a return.",2025-07-12
260,494,75,102,5,"Excellent product, exactly as described. Very happy with the purchase.",2025-09-05
261,502,563,48,4,"Good product overall, minor issues but satisfied with the purchase.",2026-01-25
262,506,1248,108,4,"Works well, matches the description. Happy with it.",2026-03-11
263,507,1905,88,4,"Nice quality, delivery was a bit delayed but product is good.",2025-09-25
264,508,947,128,1,"Very disappointed, product stopped working within days.",2026-03-22
265,509,524,21,5,Amazing value for money. Packaging was also very good.,2025-06-02
266,510,426,95,3,"It's okay, nothing special but does the job.",2026-01-13
267,515,1127,56,4,"Good product overall, minor issues but satisfied with the purchase.",2025-11-24
268,516,744,82,3,"It's okay, nothing special but does the job.",2026-02-16
269,517,828,119,5,Superb quality and fast delivery. Highly recommend to everyone.,2025-08-07
270,518,1789,1,5,Superb quality and fast delivery. Highly recommend to everyone.,2025-05-07
271,521,1228,105,5,"Excellent product, exactly as described. Very happy with the purchase.",2025-10-09
272,522,1166,24,4,"Decent product for the price, would recommend with minor caution.",2025-11-06
273,523,1618,50,3,Product is fine but delivery took longer than expected.,2026-04-14
274,524,1792,121,4,"Good product overall, minor issues but satisfied with the purchase.",2025-01-01
275,525,601,53,1,"Worst experience, will not order this brand again.",2026-02-24
276,526,909,46,3,"Average product, expected a bit more for this price.",2026-07-20
277,527,1238,41,3,"Quality is average, packaging could have been better.",2026-03-13
278,530,1244,7,4,"Good product overall, minor issues but satisfied with the purchase.",2025-11-15
279,531,1663,11,3,"Quality is average, packaging could have been better.",2026-07-21
280,532,1331,32,3,"Average product, expected a bit more for this price.",2025-07-01
281,533,1188,29,4,"Works well, matches the description. Happy with it.",2026-01-25
282,534,291,124,4,"Nice quality, delivery was a bit delayed but product is good.",2026-04-29
283,537,1560,74,5,Superb quality and fast delivery. Highly recommend to everyone.,2026-07-08
284,538,1462,41,5,"Excellent product, exactly as described. Very happy with the purchase.",2026-06-01
285,540,1305,55,3,"It's okay, nothing special but does the job.",2024-12-31
286,542,1319,129,1,"Poor quality, does not match the images shown online.",2024-09-30
287,543,994,124,4,"Works well, matches the description. Happy with it.",2025-11-23
288,544,1940,80,2,"Not satisfied, quality is below expectations.",2025-08-24
289,546,1857,59,4,"Decent product for the price, would recommend with minor caution.",2023-12-19
290,548,1102,15,5,Amazing value for money. Packaging was also very good.,2026-03-28
291,551,131,34,5,Best in this price range. Will buy again from this brand.,2026-04-13
292,553,654,19,3,Product is fine but delivery took longer than expected.,2026-02-10
293,554,405,56,5,Amazing value for money. Packaging was also very good.,2024-09-01
294,556,1207,117,2,"Not satisfied, quality is below expectations.",2026-02-26
295,558,1322,64,4,"Good product overall, minor issues but satisfied with the purchase.",2025-03-11
296,560,964,17,1,"Worst experience, will not order this brand again.",2025-12-16
297,561,1766,47,4,"Works well, matches the description. Happy with it.",2025-07-07
298,563,1900,40,5,Superb quality and fast delivery. Highly recommend to everyone.,2025-10-23
299,564,352,41,4,"Good product overall, minor issues but satisfied with the purchase.",2026-04-12
300,570,765,98,4,"Nice quality, delivery was a bit delayed but product is good.",2026-02-03
301,571,441,71,5,Amazing value for money. Packaging was also very good.,2026-08-12
302,573,799,125,5,Best in this price range. Will buy again from this brand.,2025-12-21
303,577,672,67,5,Best in this price range. Will buy again from this brand.,2025-10-07
304,578,288,18,5,Amazing value for money. Packaging was also very good.,2026-01-24
305,579,1961,115,1,"Worst experience, will not order this brand again.",2026-03-20
306,580,467,86,1,"Worst experience, will not order this brand again.",2025-07-09
307,583,765,9,3,"Average product, expected a bit more for this price.",2026-02-06
308,584,1104,86,5,"Excellent product, exactly as described. Very happy with the purchase.",2025-08-06
309,586,180,120,5,Amazing value for money. Packaging was also very good.,2025-10-04
310,588,312,19,5,Superb quality and fast delivery. Highly recommend to everyone.,2025-11-21
311,590,1278,5,5,Amazing value for money. Packaging was also very good.,2026-03-13
312,596,478,56,2,Delivery was late and product quality is average at best.,2026-05-17
313,597,1935,97,2,"Not satisfied, quality is below expectations.",2025-06-29
314,598,428,115,2,Delivery was late and product quality is average at best.,2025-05-17
315,599,1209,24,3,Product is fine but delivery took longer than expected.,2026-02-25
316,600,1058,54,3,Product is fine but delivery took longer than expected.,2024-12-07
317,602,737,29,4,"Nice quality, delivery was a bit delayed but product is good.",2025-07-22
318,604,890,77,1,"Received a damaged item, requesting refund immediately.",2026-05-23
319,605,1660,121,5,Superb quality and fast delivery. Highly recommend to everyone.,2025-05-20
320,609,354,39,5,Amazing value for money. Packaging was also very good.,2024-11-02
321,610,1801,42,3,Product is fine but delivery took longer than expected.,2026-05-02
322,612,59,9,2,Delivery was late and product quality is average at best.,2026-04-03
323,615,1754,113,3,Product is fine but delivery took longer than expected.,2026-04-19
324,617,1257,25,1,"Received a damaged item, requesting refund immediately.",2025-12-09
325,619,1523,104,3,"Average product, expected a bit more for this price.",2024-07-03
326,620,514,78,5,Best in this price range. Will buy again from this brand.,2025-12-17
327,621,1065,69,4,"Nice quality, delivery was a bit delayed but product is good.",2025-09-02
328,622,1355,9,5,Superb quality and fast delivery. Highly recommend to everyone.,2024-12-29
329,624,488,83,2,"Not satisfied, quality is below expectations.",2024-10-13
330,625,385,104,5,Amazing value for money. Packaging was also very good.,2025-11-09
331,626,1118,72,2,"Not satisfied, quality is below expectations.",2025-07-03
332,627,1828,88,5,Amazing value for money. Packaging was also very good.,2024-11-09
333,630,247,33,4,"Nice quality, delivery was a bit delayed but product is good.",2026-01-14
334,632,400,57,3,"Quality is average, packaging could have been better.",2024-11-02
335,633,1077,13,3,Product is fine but delivery took longer than expected.,2026-08-17
336,637,608,108,1,"Poor quality, does not match the images shown online.",2026-01-08
337,638,1922,65,5,Superb quality and fast delivery. Highly recommend to everyone.,2026-02-18
338,639,1503,18,3,"It's okay, nothing special but does the job.",2026-07-29
339,641,1212,90,4,"Nice quality, delivery was a bit delayed but product is good.",2024-11-19
340,642,1829,39,4,"Good product overall, minor issues but satisfied with the purchase.",2025-06-02
341,645,315,88,5,Amazing value for money. Packaging was also very good.,2024-10-22
342,646,1717,29,5,"Excellent product, exactly as described. Very happy with the purchase.",2026-04-08
343,647,1454,125,3,Product is fine but delivery took longer than expected.,2026-08-17
344,648,1499,93,5,"Excellent product, exactly as described. Very happy with the purchase.",2025-10-21
345,649,1437,108,3,"Average product, expected a bit more for this price.",2026-06-15
346,650,1726,71,5,Best in this price range. Will buy again from this brand.,2025-12-30
347,653,1600,125,4,"Good product overall, minor issues but satisfied with the purchase.",2026-03-03
348,655,1317,25,4,"Good product overall, minor issues but satisfied with the purchase.",2026-05-27
349,656,1378,108,4,"Good product overall, minor issues but satisfied with the purchase.",2026-06-14
350,658,1666,111,5,Best in this price range. Will buy again from this brand.,2026-02-23
351,660,1494,65,3,Product is fine but delivery took longer than expected.,2025-12-29
352,661,1978,115,4,"Works well, matches the description. Happy with it.",2025-01-18
353,663,660,90,5,Superb quality and fast delivery. Highly recommend to everyone.,2026-01-12
354,666,1754,90,4,"Works well, matches the description. Happy with it.",2025-12-24
355,667,327,83,3,Product is fine but delivery took longer than expected.,2026-06-08
356,668,1037,76,5,Superb quality and fast delivery. Highly recommend to everyone.,2025-12-28
357,669,1425,24,3,"It's okay, nothing special but does the job.",2024-06-07
358,671,1887,76,4,"Good product overall, minor issues but satisfied with the purchase.",2025-05-17
359,674,443,63,1,"Received a damaged item, requesting refund immediately.",2025-03-16
360,678,656,20,1,"Worst experience, will not order this brand again.",2025-09-07
361,681,714,58,5,Superb quality and fast delivery. Highly recommend to everyone.,2026-01-02
362,683,919,89,4,"Decent product for the price, would recommend with minor caution.",2026-08-01
363,692,197,111,1,"Poor quality, does not match the images shown online.",2025-05-04
364,693,823,90,5,Superb quality and fast delivery. Highly recommend to everyone.,2024-11-16
365,695,1399,44,5,Best in this price range. Will buy again from this brand.,2025-04-29
366,697,143,128,3,"Quality is average, packaging could have been better.",2026-06-29
367,698,1787,96,3,"Average product, expected a bit more for this price.",2026-01-29
368,699,1802,39,5,Best in this price range. Will buy again from this brand.,2026-07-31
369,700,1916,31,2,Delivery was late and product quality is average at best.,2026-01-28
370,702,1256,117,5,Superb quality and fast delivery. Highly recommend to everyone.,2026-05-01
371,707,278,75,4,"Nice quality, delivery was a bit delayed but product is good.",2026-01-21
372,708,169,126,1,"Worst experience, will not order this brand again.",2025-08-04
373,710,86,79,4,"Nice quality, delivery was a bit delayed but product is good.",2026-03-28
374,712,386,14,4,"Decent product for the price, would recommend with minor caution.",2025-04-19
375,713,1042,46,4,"Nice quality, delivery was a bit delayed but product is good.",2025-08-22
376,714,440,48,3,"Average product, expected a bit more for this price.",2024-11-21
377,715,417,4,1,"Poor quality, does not match the images shown online.",2025-08-03
378,719,1394,80,5,Best in this price range. Will buy again from this brand.,2025-10-02
379,720,559,3,4,"Nice quality, delivery was a bit delayed but product is good.",2025-06-08
380,721,1846,125,4,"Works well, matches the description. Happy with it.",2024-11-18
381,723,237,126,4,"Decent product for the price, would recommend with minor caution.",2025-05-25
