shipment_id,order_id,courier_partner,warehouse_location,dispatch_date,delivery_date,delivery_status,estimated_days
65,65,Xpressbees,Pune,2025-05-18,2025-05-21,Delivered Late,2
66,66,Ecom Express,Hyderabad,2025-12-08,2025-12-12,Delivered,4
67,67,Ekart Logistics,Patna,2024-12-05,2024-12-11,Delivered,7
68,68,Xpressbees,Indore,2025-02-14,2025-02-21,Delivered,7
69,69,Delhivery,Kolkata,2026-02-01,2026-02-04,Delivered Late,3
70,70,Delhivery,Coimbatore,2025-04-04,2025-04-09,Returned,6
71,71,DTDC,Nagpur,,,Processing,2
72,72,DTDC,Chandigarh,2026-02-14,2026-02-17,Delivered,4
73,73,Xpressbees,Kanpur,2023-12-23,,In Transit,6
74,74,Delhivery,Hyderabad,2026-03-17,2026-03-22,Delivered Late,3
75,75,Delhivery,Kochi,2025-10-27,2025-11-03,Delivered,7
76,76,Ecom Express,Mysuru,,,Not Shipped,2
77,77,Delhivery,Kochi,2024-10-29,2024-11-06,Delivered Late,7
78,78,Delhivery,Indore,2024-09-27,2024-09-30,Delivered,4
79,79,Ekart Logistics,Vadodara,2026-03-25,2026-03-28,Delivered Late,2
80,80,Xpressbees,Nashik,2024-08-26,2024-09-02,Delivered,7
81,81,Xpressbees,Hyderabad,2024-05-21,2024-05-25,Delivered Late,3
82,82,DTDC,Surat,,,Not Shipped,2
83,83,Ecom Express,Ahmedabad,2025-12-31,2026-01-02,Delivered,2
84,84,Ekart Logistics,Delhi,2025-09-14,2025-09-17,Delivered Late,2
85,85,Ecom Express,Bengaluru,,,Not Shipped,2
86,86,Ekart Logistics,Coimbatore,2025-09-01,2025-09-05,Delivered,4
87,87,DTDC,Ahmedabad,2024-12-09,2024-12-15,Delivered,7
88,88,DTDC,Pune,2026-04-22,2026-04-27,Returned,6
89,89,Delhivery,Chandigarh,2026-03-14,2026-03-16,Delivered,2
90,90,DTDC,Kochi,2025-03-22,2025-03-27,Returned,5
91,91,Ecom Express,Ahmedabad,2024-09-14,2024-09-19,Delivered Late,5
92,92,Bluedart,Kolkata,2026-04-01,2026-04-05,Returned,3
93,93,Xpressbees,Chennai,2026-04-17,2026-04-20,Delivered,3
94,94,Bluedart,Hyderabad,2026-01-31,2026-02-07,Delivered,7
95,95,Ecom Express,Mysuru,2025-12-24,2025-12-30,Delivered Late,3
96,96,Ekart Logistics,Surat,2025-01-31,2025-02-07,Delivered,7
97,97,Bluedart,Pune,,,Not Shipped,5
98,98,Xpressbees,Kanpur,2024-08-28,2024-09-04,Delivered Late,6
99,99,Bluedart,Chennai,2025-08-25,2025-09-01,Delivered Late,6
100,100,Ecom Express,Surat,2026-01-24,2026-01-26,Delivered,2
101,101,Ekart Logistics,Bhubaneswar,2025-01-31,2025-02-05,Delivered,6
102,102,Bluedart,Bengaluru,2026-08-03,2026-08-06,Returned,3
103,103,Delhivery,Mumbai,2026-04-28,2026-05-05,Delivered,7
104,104,Ecom Express,Chennai,2024-07-29,,In Transit,6
105,105,Ecom Express,Coimbatore,2024-04-30,2024-05-01,Delivered,2
106,106,Ekart Logistics,Chennai,,,Not Shipped,7
107,107,Ekart Logistics,Amritsar,2024-09-11,2024-09-13,Delivered,3
108,108,Delhivery,Mysuru,2025-02-19,2025-02-23,Delivered,5
109,109,Delhivery,Patna,2025-02-10,2025-02-12,Delivered,3
110,110,DTDC,Mysuru,2025-08-02,,In Transit,6
111,111,Bluedart,Mysuru,2026-05-21,2026-05-26,Delivered,6
112,112,Ekart Logistics,Bhubaneswar,,,Processing,7
113,113,DTDC,Bhubaneswar,2026-08-05,2026-08-11,Delivered Late,4
114,114,Delhivery,Bhopal,2025-10-12,2025-10-18,Delivered,6
115,115,Xpressbees,Hyderabad,2025-05-21,2025-05-26,Delivered,5
116,116,Ecom Express,Bhubaneswar,,,Not Shipped,4
117,117,DTDC,Kolkata,2025-07-26,2025-08-02,Delivered Late,5
118,118,Ekart Logistics,Chennai,2026-07-04,2026-07-09,Delivered Late,3
119,119,DTDC,Ranchi,2026-03-20,,In Transit,7
120,120,Ekart Logistics,Chennai,2026-06-20,2026-06-26,Delivered Late,5
121,121,Ekart Logistics,Patna,2025-12-24,2025-12-26,Delivered,3
122,122,Xpressbees,Guwahati,2025-08-03,2025-08-12,Delivered Late,7
123,123,Ecom Express,Vadodara,2025-10-27,2025-11-02,Delivered Late,5
124,124,Bluedart,Mumbai,2025-10-24,2025-10-30,Delivered,7
125,125,Xpressbees,Nashik,2025-12-22,2025-12-26,Delivered,4
126,126,Delhivery,Jaipur,2026-01-19,2026-01-23,Delivered,5
127,127,Bluedart,Mysuru,2026-05-06,2026-05-14,Delivered Late,7
128,128,Ecom Express,Nagpur,,,Processing,4
129,129,Bluedart,Chennai,2026-02-09,2026-02-14,Returned,6
130,130,Ekart Logistics,Bhopal,2026-01-28,2026-02-06,Delivered Late,7
131,131,Ekart Logistics,Nashik,2024-09-27,2024-10-05,Delivered Late,7
132,132,Delhivery,Bhubaneswar,2026-02-12,2026-02-21,Delivered Late,7
133,133,Ekart Logistics,Indore,2025-08-27,2025-08-31,Delivered,4
134,134,Delhivery,Mumbai,2026-01-27,2026-02-02,Delivered Late,5
135,135,Delhivery,Guwahati,2025-04-25,2025-05-02,Returned,7
136,136,DTDC,Thiruvananthapuram,,,Not Shipped,5
137,137,Ecom Express,Bhopal,2026-01-27,2026-02-02,Returned,7
138,138,DTDC,Hyderabad,2026-05-23,2026-05-29,Delivered Late,6
139,139,Delhivery,Mysuru,2025-07-05,,In Transit,4
140,140,DTDC,Jaipur,2026-01-20,2026-01-25,Delivered,6
141,141,Xpressbees,Mumbai,2025-07-21,2025-07-28,Delivered Late,6
142,142,Delhivery,Kolkata,2025-07-11,2025-07-17,Delivered,6
143,143,Ekart Logistics,Surat,2024-11-17,2024-11-23,Delivered Late,5
144,144,Xpressbees,Chandigarh,2026-03-16,2026-03-17,Delivered,2
145,145,Delhivery,Mysuru,2025-02-14,2025-02-17,Delivered,3
146,146,Ecom Express,Kochi,2025-11-21,2025-11-25,Returned,4
147,147,DTDC,Amritsar,2026-03-03,2026-03-07,Delivered,4
148,148,Bluedart,Chennai,2025-08-26,,In Transit,6
149,149,DTDC,Coimbatore,2025-05-10,2025-05-17,Delivered Late,5
150,150,Ecom Express,Jaipur,2025-11-21,,In Transit,6
151,151,Xpressbees,Lucknow,2026-06-14,,In Transit,3
152,152,Xpressbees,Lucknow,2026-03-15,2026-03-18,Delivered,4
153,153,Ecom Express,Bengaluru,2024-02-07,2024-02-13,Delivered Late,3
154,154,Xpressbees,Mumbai,2025-08-23,2025-08-28,Delivered,6
155,155,Bluedart,Ranchi,2025-04-05,2025-04-13,Delivered Late,7
156,156,Bluedart,Kochi,2025-08-25,2025-08-26,Delivered,2
157,157,Xpressbees,Bhopal,2026-08-03,2026-08-10,Delivered,7
158,158,Bluedart,Thiruvananthapuram,2026-06-10,2026-06-16,Delivered Late,6
159,159,DTDC,Hyderabad,,,Not Shipped,2
160,160,DTDC,Bengaluru,2025-11-27,2025-12-03,Returned,6
161,161,Ekart Logistics,Bengaluru,2026-07-20,,In Transit,6
162,162,DTDC,Chennai,,,Not Shipped,2
163,163,Ecom Express,Kochi,2025-11-20,2025-11-25,Delivered Late,4
164,164,Bluedart,Patna,2026-03-09,2026-03-12,Delivered,3
165,165,DTDC,Kochi,2026-02-17,2026-02-19,Delivered,2
166,166,Ekart Logistics,Guwahati,2025-09-29,2025-10-04,Returned,6
167,167,Bluedart,Pune,,,Not Shipped,5
168,168,Ekart Logistics,Ranchi,,,Processing,6
169,169,Ecom Express,Kanpur,2026-06-05,2026-06-11,Delivered Late,4
170,170,DTDC,Coimbatore,2025-09-25,2025-09-27,Delivered,3
171,171,Bluedart,Vadodara,,,Not Shipped,6
172,172,Ekart Logistics,Hyderabad,2024-07-31,2024-08-10,Delivered Late,7
173,173,Ekart Logistics,Hyderabad,2025-05-08,2025-05-15,Delivered Late,6
174,174,Delhivery,Bhopal,,,Processing,7
175,175,Bluedart,Bhubaneswar,2025-05-03,2025-05-12,Delivered Late,7
176,176,Ecom Express,Guwahati,2024-12-23,2024-12-28,Delivered Late,5
177,177,Delhivery,Chandigarh,2026-02-09,2026-02-14,Delivered,5
178,178,Delhivery,Ahmedabad,2026-05-26,2026-05-31,Delivered Late,4
179,179,Delhivery,Chandigarh,2025-02-05,2025-02-10,Delivered Late,5
180,180,Bluedart,Guwahati,2024-11-20,2024-11-22,Delivered,3
181,181,Ecom Express,Kolkata,2026-03-09,2026-03-13,Returned,4
182,182,Ecom Express,Nagpur,2025-11-28,2025-11-30,Delivered Late,2
183,183,DTDC,Thiruvananthapuram,2025-07-22,2025-07-27,Delivered,6
184,184,Ekart Logistics,Pune,2025-08-15,2025-08-24,Delivered Late,7
185,185,Bluedart,Indore,2025-08-14,2025-08-19,Returned,4
186,186,Xpressbees,Mumbai,2026-05-10,2026-05-12,Delivered,3
187,187,Ekart Logistics,Ahmedabad,2024-11-11,2024-11-18,Delivered Late,7
188,188,Ecom Express,Surat,2026-02-12,2026-02-15,Delivered Late,3
189,189,Ecom Express,Bhopal,,,Not Shipped,3
190,190,Bluedart,Kochi,2025-03-04,2025-03-10,Returned,6
191,191,DTDC,Amritsar,2025-10-05,2025-10-12,Delivered Late,6
192,192,Delhivery,Amritsar,2024-11-10,2024-11-16,Delivered,6
193,193,Bluedart,Ahmedabad,,,Not Shipped,7
194,194,Ekart Logistics,Chennai,,,Not Shipped,2
195,195,Delhivery,Ahmedabad,2026-01-31,2026-02-05,Delivered,5
196,196,DTDC,Chennai,2026-01-27,2026-01-30,Delivered,4
197,197,Ecom Express,Coimbatore,2025-07-08,2025-07-09,Delivered,2
198,198,DTDC,Coimbatore,2026-02-05,,In Transit,5
199,199,DTDC,Ahmedabad,2026-03-13,2026-03-16,Delivered,3
200,200,Bluedart,Mumbai,2025-05-23,2025-05-29,Delivered Late,5
201,201,Ekart Logistics,Jaipur,2025-06-03,2025-06-07,Delivered Late,3
202,202,Delhivery,Chandigarh,2025-09-24,2025-09-28,Delivered,5
203,203,Xpressbees,Jaipur,2026-04-12,2026-04-19,Delivered,7
204,204,Ekart Logistics,Bhopal,2026-04-17,2026-04-23,Delivered Late,5
205,205,Delhivery,Patna,2026-02-07,2026-02-11,Delivered,5
206,206,Xpressbees,Nashik,2026-01-24,2026-01-31,Delivered Late,7
207,207,Bluedart,Mumbai,2026-05-15,2026-05-22,Delivered,7
208,208,Delhivery,Surat,2024-03-25,2024-03-29,Returned,4
209,209,Delhivery,Nashik,2026-04-05,2026-04-11,Delivered,6
210,210,Delhivery,Lucknow,2025-08-26,2025-08-27,Delivered,2
211,211,DTDC,Guwahati,2024-03-14,2024-03-19,Delivered,6
212,212,Delhivery,Nashik,2026-03-12,2026-03-14,Delivered,3
213,213,Ekart Logistics,Ranchi,2024-08-12,,In Transit,7
214,214,DTDC,Surat,2025-11-02,2025-11-09,Delivered,7
215,215,Ecom Express,Coimbatore,2026-06-13,2026-06-14,Delivered,2
216,216,Bluedart,Chennai,2025-07-31,2025-08-07,Delivered Late,4
217,217,Delhivery,Mumbai,2026-03-08,2026-03-11,Delivered,3
218,218,Xpressbees,Surat,2024-11-28,2024-11-30,Delivered,2
219,219,Ecom Express,Kolkata,2026-01-16,2026-01-21,Delivered,5
220,220,Ekart Logistics,Patna,2026-03-04,2026-03-08,Delivered,4
221,221,Ecom Express,Nashik,2026-01-10,2026-01-18,Delivered Late,5
222,222,DTDC,Kochi,2026-07-11,2026-07-17,Delivered,7
223,223,DTDC,Lucknow,2025-07-03,2025-07-06,Delivered,4
224,224,Xpressbees,Delhi,2025-01-18,2025-01-21,Delivered,3
225,225,DTDC,Guwahati,2025-08-06,2025-08-12,Delivered,7
226,226,Bluedart,Chandigarh,2025-12-28,2026-01-01,Delivered,5
227,227,Xpressbees,Mumbai,2025-08-21,2025-08-24,Delivered Late,3
228,228,Ekart Logistics,Patna,2026-05-25,2026-05-30,Delivered,6
229,229,Delhivery,Bhopal,2025-02-13,2025-02-20,Delivered Late,7
230,230,DTDC,Chennai,2025-05-12,2025-05-18,Delivered Late,3
231,231,DTDC,Mumbai,2024-10-07,2024-10-12,Delivered,5
232,232,Delhivery,Ranchi,2026-06-16,2026-06-22,Delivered Late,4
233,233,Bluedart,Pune,2026-04-09,2026-04-15,Delivered Late,4
234,234,Ecom Express,Lucknow,2026-04-05,2026-04-07,Delivered Late,2
235,235,Bluedart,Lucknow,2026-04-23,2026-04-28,Delivered,5
236,236,DTDC,Kanpur,2026-06-05,2026-06-10,Delivered Late,4
237,237,Bluedart,Nagpur,2023-12-28,2023-12-31,Delivered Late,2
238,238,DTDC,Bhubaneswar,2026-01-22,2026-01-27,Delivered,5
239,239,Ekart Logistics,Guwahati,2025-06-04,2025-06-08,Delivered,5
240,240,Ecom Express,Bhubaneswar,2026-05-26,2026-06-01,Returned,4
241,241,Delhivery,Thiruvananthapuram,2026-04-04,2026-04-05,Delivered,2
242,242,Bluedart,Pune,2026-06-16,2026-06-19,Delivered,3
243,243,Ekart Logistics,Thiruvananthapuram,2025-09-23,2025-10-01,Delivered Late,5
244,244,Bluedart,Nashik,2025-04-30,2025-05-04,Delivered,5
245,245,Delhivery,Bhopal,2026-04-15,2026-04-22,Returned,5
246,246,Ekart Logistics,Lucknow,2025-09-30,2025-10-03,Delivered,3
247,247,Ecom Express,Delhi,2026-02-24,,In Transit,2
248,248,Delhivery,Vadodara,2025-04-04,2025-04-10,Delivered,7
249,249,Ecom Express,Kanpur,2025-11-29,2025-12-05,Delivered Late,4
250,250,Bluedart,Guwahati,,,Not Shipped,6
251,251,Delhivery,Amritsar,2025-06-26,2025-07-01,Delivered,5
252,252,Bluedart,Guwahati,2024-08-26,,In Transit,3
253,253,Delhivery,Mysuru,2024-12-11,2024-12-14,Delivered,3
254,254,Delhivery,Indore,,,Not Shipped,6
255,255,DTDC,Kolkata,2025-05-05,2025-05-13,Delivered Late,7
256,256,DTDC,Vadodara,2025-10-05,2025-10-09,Delivered,5
257,257,Ecom Express,Delhi,2024-08-29,2024-09-01,Delivered Late,3
258,258,Ecom Express,Bengaluru,2025-10-27,2025-10-31,Returned,3
259,259,Delhivery,Delhi,2024-06-27,2024-07-01,Delivered,5
260,260,Xpressbees,Jaipur,2025-11-21,2025-11-28,Delivered Late,6
261,261,Delhivery,Vadodara,2025-01-11,2025-01-12,Returned,2
262,262,Bluedart,Kolkata,2024-12-27,2024-12-28,Delivered,2
263,263,Ecom Express,Amritsar,2026-03-02,2026-03-03,Delivered,2
264,264,Xpressbees,Hyderabad,2026-03-20,2026-03-27,Delivered,7
265,265,DTDC,Guwahati,2024-11-18,2024-11-25,Delivered Late,6
266,266,Ecom Express,Nagpur,2024-08-21,2024-08-26,Delivered,5
267,267,Xpressbees,Nagpur,2025-07-30,2025-08-06,Delivered Late,7
268,268,Ecom Express,Guwahati,2025-03-03,2025-03-08,Delivered,5
269,269,Ekart Logistics,Kanpur,2023-12-22,2023-12-24,Delivered,3
270,270,Xpressbees,Bhubaneswar,2026-02-26,2026-03-02,Delivered,4
271,271,Xpressbees,Nagpur,,,Not Shipped,6
272,272,Delhivery,Surat,2025-06-18,2025-06-23,Delivered Late,3
273,273,Bluedart,Nashik,2026-05-27,2026-05-30,Delivered,3
274,274,Bluedart,Delhi,2026-02-23,2026-03-03,Delivered Late,6
275,275,Ekart Logistics,Amritsar,2025-10-16,2025-10-21,Delivered Late,4
276,276,DTDC,Surat,2025-09-24,2025-10-03,Delivered Late,6
277,277,Bluedart,Bhopal,2025-11-13,,In Transit,4
278,278,Delhivery,Bhubaneswar,2026-03-25,2026-03-29,Delivered Late,4
279,279,Xpressbees,Mysuru,2026-03-13,2026-03-14,Delivered,2
280,280,DTDC,Thiruvananthapuram,2024-10-14,2024-10-20,Delivered,6
281,281,Ekart Logistics,Chandigarh,2026-03-11,2026-03-14,Delivered Late,2
282,282,DTDC,Chandigarh,2024-09-19,2024-09-23,Delivered Late,2
283,283,DTDC,Indore,2025-12-16,,In Transit,4
284,284,Delhivery,Mumbai,2025-09-27,2025-10-01,Delivered,4
285,285,DTDC,Patna,2025-04-03,2025-04-05,Delivered,3
286,286,Bluedart,Bengaluru,2026-02-12,2026-02-15,Delivered Late,3
287,287,Ecom Express,Hyderabad,2026-01-11,2026-01-17,Delivered Late,5
288,288,Delhivery,Thiruvananthapuram,2026-03-05,2026-03-09,Delivered,4
289,289,Delhivery,Chandigarh,,,Processing,3
290,290,Delhivery,Amritsar,2025-09-08,2025-09-11,Delivered,3
291,291,Ekart Logistics,Bhubaneswar,2026-01-05,2026-01-09,Delivered Late,3
292,292,Bluedart,Bengaluru,2024-07-24,2024-07-31,Returned,7
293,293,Bluedart,Ahmedabad,2026-01-24,,In Transit,2
294,294,Xpressbees,Chennai,,,Not Shipped,6
295,295,Ecom Express,Bhubaneswar,2025-04-07,2025-04-10,Delivered,4
296,296,Delhivery,Pune,2024-09-03,2024-09-06,Delivered,3
297,297,DTDC,Bengaluru,2025-09-20,2025-09-23,Delivered Late,3
298,298,Bluedart,Vadodara,2026-04-15,,In Transit,4
299,299,Ekart Logistics,Nashik,2025-08-26,2025-08-30,Delivered,4
300,300,DTDC,Surat,,,Processing,4
301,301,Bluedart,Mumbai,2024-02-08,2024-02-13,Returned,6
302,302,Xpressbees,Kochi,2024-08-30,2024-09-04,Returned,5
303,303,Ekart Logistics,Nagpur,2025-07-28,2025-08-01,Delivered Late,3
304,304,DTDC,Delhi,2025-10-15,2025-10-22,Delivered,7
305,305,Delhivery,Mumbai,2025-08-08,2025-08-13,Delivered,5
306,306,Delhivery,Nashik,2026-01-26,2026-01-27,Delivered,2
307,307,Ekart Logistics,Kolkata,2026-03-29,2026-04-04,Delivered,6
308,308,DTDC,Patna,2025-05-06,2025-05-09,Delivered Late,2
309,309,Delhivery,Ranchi,2024-07-25,2024-08-01,Delivered,7
310,310,Xpressbees,Bhopal,2026-03-06,2026-03-11,Delivered Late,3
311,311,Xpressbees,Amritsar,2026-01-07,2026-01-10,Delivered,4
312,312,Xpressbees,Patna,2024-07-04,2024-07-07,Delivered,3
313,313,DTDC,Mumbai,2026-02-13,2026-02-18,Delivered,5
314,314,Ecom Express,Mysuru,2024-05-25,2024-05-30,Delivered Late,4
315,315,Ecom Express,Bengaluru,2025-04-13,2025-04-18,Delivered,5
316,316,Bluedart,Jaipur,2025-05-13,2025-05-19,Delivered Late,6
317,317,DTDC,Vadodara,2024-07-10,2024-07-16,Delivered,7
318,318,Bluedart,Patna,2024-05-26,2024-05-31,Delivered,6
319,319,Ekart Logistics,Mumbai,2025-05-09,2025-05-11,Delivered,3
320,320,Xpressbees,Ahmedabad,2025-07-25,2025-08-01,Delivered,7
321,321,Ecom Express,Chennai,2025-02-21,2025-02-26,Delivered Late,4
322,322,Xpressbees,Nagpur,2026-08-17,2026-08-21,Delivered,4
323,323,Xpressbees,Delhi,2025-08-23,,In Transit,6
324,324,Bluedart,Nashik,,,Not Shipped,4
325,325,Bluedart,Thiruvananthapuram,2026-07-20,2026-07-25,Returned,6
326,326,Delhivery,Chennai,2025-12-28,,In Transit,4
327,327,Ekart Logistics,Thiruvananthapuram,2026-08-11,2026-08-13,Delivered,3
328,328,Ekart Logistics,Chennai,2024-11-18,2024-11-24,Delivered,7
329,329,Ecom Express,Mumbai,2025-02-04,2025-02-07,Delivered,4
330,330,Ekart Logistics,Ranchi,,,Not Shipped,4
331,331,Bluedart,Mumbai,2026-01-22,2026-01-28,Delivered,6
332,332,Delhivery,Bhubaneswar,2026-03-06,2026-03-14,Delivered Late,7
333,333,Delhivery,Chandigarh,2025-04-13,2025-04-15,Delivered,3
334,334,Xpressbees,Nagpur,2025-10-14,2025-10-19,Delivered,5
335,335,Delhivery,Guwahati,2025-01-28,2025-02-01,Delivered,5
336,336,Ecom Express,Ranchi,2025-11-12,2025-11-15,Delivered,3
337,337,Delhivery,Kolkata,2025-06-18,2025-06-23,Delivered,5
338,338,Ekart Logistics,Mysuru,,,Not Shipped,6
339,339,Xpressbees,Bhubaneswar,2025-12-21,2025-12-22,Delivered,2
340,340,Delhivery,Kanpur,2024-07-17,2024-07-20,Delivered Late,2
341,341,DTDC,Delhi,,,Not Shipped,7
342,342,Delhivery,Pune,2026-06-11,2026-06-15,Delivered,4
343,343,Delhivery,Mysuru,2025-04-23,2025-04-29,Delivered,7
344,344,Bluedart,Lucknow,2024-11-25,2024-12-03,Delivered Late,7
345,345,Bluedart,Vadodara,2025-12-18,2025-12-21,Delivered Late,2
346,346,Xpressbees,Kanpur,,,Processing,5
347,347,Ekart Logistics,Indore,2026-01-17,2026-01-19,Returned,3
348,348,Ekart Logistics,Thiruvananthapuram,2024-12-21,2024-12-27,Delivered Late,5
349,349,Ecom Express,Indore,,,Processing,5
350,350,Ecom Express,Bengaluru,2025-08-19,2025-08-29,Delivered Late,7
351,351,Ekart Logistics,Thiruvananthapuram,2025-04-17,2025-04-21,Delivered Late,3
352,352,Xpressbees,Delhi,2026-04-15,2026-04-17,Delivered,3
353,353,Ecom Express,Surat,2025-10-12,2025-10-14,Delivered,2
354,354,Ecom Express,Lucknow,2026-06-23,2026-07-02,Returned,7
355,355,Xpressbees,Bengaluru,2025-06-27,2025-07-02,Delivered Late,4
356,356,DTDC,Hyderabad,2025-07-10,2025-07-13,Delivered,3
357,357,Delhivery,Hyderabad,2024-12-23,2024-12-30,Delivered,7
358,358,Delhivery,Indore,2025-06-17,2025-06-20,Returned,4
359,359,Xpressbees,Bengaluru,2025-03-27,2025-04-04,Delivered Late,6
360,360,Xpressbees,Bhubaneswar,2026-05-15,2026-05-19,Delivered,4
361,361,Xpressbees,Bengaluru,2025-07-14,2025-07-16,Delivered,2
362,362,Bluedart,Kolkata,2026-05-04,2026-05-10,Delivered,6
363,363,Xpressbees,Chennai,2025-11-10,2025-11-15,Delivered Late,4
364,364,Delhivery,Delhi,2026-05-09,2026-05-11,Delivered,2
365,365,Delhivery,Kochi,2026-04-03,2026-04-09,Delivered Late,4
366,366,Delhivery,Indore,2024-09-04,2024-09-12,Returned,7
367,367,Ecom Express,Guwahati,2025-01-16,2025-01-22,Delivered,6
368,368,Delhivery,Mumbai,2024-10-05,,In Transit,2
369,369,DTDC,Patna,2025-02-02,2025-02-04,Delivered,3
370,370,Ekart Logistics,Bhopal,2026-05-14,2026-05-21,Delivered Late,5
371,371,Delhivery,Delhi,,,Not Shipped,4
372,372,Ekart Logistics,Bhopal,2026-04-19,2026-04-24,Delivered Late,3
373,373,DTDC,Nashik,2024-08-26,2024-09-02,Delivered Late,6
374,374,Xpressbees,Guwahati,2026-06-22,2026-06-27,Delivered,5
375,375,Ecom Express,Patna,2026-01-01,,In Transit,5
376,376,DTDC,Ahmedabad,,,Not Shipped,7
377,377,Ecom Express,Delhi,2026-01-30,2026-02-03,Returned,5
378,378,Ekart Logistics,Amritsar,2025-11-23,2025-11-27,Delivered,4
